N,M,Number of Threads,Number of Active Cores,DRAM Cost (pJ/bit),Weight Bus Cost (pJ/bit),Data Dispatch Bus Cost (pJ/bit),Activation Precision (bits),Weight Precision (bits),Network,Layer,Total Cycles,Core Cycles,Core Compute Cycles,Memory wait cycles,Energy,Data Dispatch Hops,Weight Bus Hops,Weight SRAM Read,Weight SRAM Write,Output SRAM Read,Output SRAM Write,Activation SRAM Read,Actiation SRAM Write,Activation FIFO Read,Activation FIFO Write,Output Acccumulator Read,Output Accumulator Write,DRAM Read,DRAM Write,Tiling,Ordering,Partitioning,Stationary,Bandwidth (bits/cycle),Weight SRAM Size (bits),Output SRAM Size (bits),Input SRAM Size (bits),Act FIFO Size (bits),Out Accumulator Size (Bits),Batch size
256.0,32.0,1,8,12.5,0.61,0.61,16,16,GoogleNet,conv1,80381,50176,50176,30205,,0,225792.0,472055808,150528,102760448,102760448,118013952,12192768,118013952,12192768,102760448,102760448,63723520,51380224,"{'B/b': (1, 1), 'OW/ow': (56, 2), 'OH/oh': (56, 2), 'IC/ic': (1, 3), 'OC/oc': (4, 16)}","('OW/ow', 'B/b', 'OH/oh', 'OC/oc', 'IC/ic')",oc,Weight Stationary,2864,2097152.0,1310.625,2621.25,0.0,0.0,1
64.0,64.0,2,8,12.5,0.61,0.61,16,16,GoogleNet,conv2_3x3_reduce,20229,12544,12544,7685,,65536,0.0,205520896,131072,115605504,115605504,3211264,3211264,3211264,3211264,115605504,115605504,16121856,12845056,"{'B/b': (1, 1), 'OW/ow': (56, 1), 'OH/oh': (28, 1), 'IC/ic': (8, 8), 'OC/oc': (1, 64)}","('OW/ow', 'B/b', 'OH/oh', 'OC/oc', 'IC/ic')",of,Weight Stationary,2864,1048576.0,1310.625,1310.625,0.0,0.0,1
128.0,64.0,1,8,12.5,0.61,0.61,16,16,GoogleNet,conv2_3x3,75239,56448,56448,18791,,0,2654208.0,5549064192,1769472,269746176,269746176,86704128,28901376,86704128,28901376,269746176,269746176,69206016,38535168,"{'B/b': (1, 1), 'OW/ow': (56, 1), 'OH/oh': (56, 1), 'IC/ic': (2, 32), 'OC/oc': (3, 64)}","('OW/ow', 'B/b', 'OH/oh', 'OC/oc', 'IC/ic')",oc,Weight Stationary,2864,2097152.0,1310.625,2621.25,0.0,0.0,1
64.0,64.0,2,8,12.5,0.61,0.61,16,16,GoogleNet,inception_3a_1x1,6305,4704,4704,1601,,2408448,294912.0,77070336,196608,22478848,22478848,4816896,4816896,4816896,4816896,22478848,22478848,5816320,3211264,"{'B/b': (1, 1), 'OW/ow': (28, 1), 'OH/oh': (14, 2), 'IC/ic': (6, 32), 'OC/oc': (1, 32)}","('OW/ow', 'B/b', 'OH/oh', 'OC/oc', 'IC/ic')",oc,Weight Stationary,2864,1048576.0,1310.625,1310.625,0.0,0.0,1
256.0,32.0,1,8,12.5,0.61,0.61,16,16,GoogleNet,inception_3a_3x3_reduce,8616,4704,4704,3912,,0,442368.0,231211008,294912,9633792,9633792,14450688,2408448,14450688,2408448,9633792,9633792,7520256,4816896,"{'B/b': (1, 1), 'OW/ow': (28, 1), 'OH/oh': (28, 1), 'IC/ic': (1, 192), 'OC/oc': (6, 16)}","('OW/ow', 'B/b', 'OH/oh', 'OC/oc', 'IC/ic')",oc,Weight Stationary,2864,2097152.0,1310.625,2621.25,0.0,0.0,1
128.0,64.0,1,8,12.5,0.61,0.61,16,16,GoogleNet,inception_3a_3x3,25343,14112,14112,11231,,0,2654208.0,1387266048,1769472,64225280,64225280,21676032,21676032,21676032,21676032,64225280,64225280,29868032,6422528,"{'B/b': (1, 1), 'OW/ow': (28, 1), 'OH/oh': (28, 1), 'IC/ic': (3, 32), 'OC/oc': (2, 64)}","('OW/ow', 'B/b', 'OH/oh', 'OC/oc', 'IC/ic')",oc,Weight Stationary,2864,2097152.0,1310.625,2621.25,0.0,0.0,1
64.0,32.0,4,8,12.5,0.61,0.61,16,16,GoogleNet,inception_3a_5x5_reduce,2838,2352,2352,486,,2408448,73728.0,38535168,49152,3211264,3211264,9633792,9633792,9633792,9633792,3211264,3211264,3260416,802816,"{'B/b': (1, 1), 'OW/ow': (28, 1), 'OH/oh': (28, 1), 'IC/ic': (3, 64), 'OC/oc': (1, 4)}","('OW/ow', 'B/b', 'OH/oh', 'OC/oc', 'IC/ic')",oc,Weight Stationary,2864,524288.0,655.3125,655.3125,0.0,0.0,1
256.0,32.0,1,8,12.5,0.61,0.61,16,16,GoogleNet,inception_3a_5x5,3648,3136,3136,512,,0,307200.0,40140800,204800,4816896,4816896,10035200,1806336,10035200,1806336,4816896,4816896,3616768,1605632,"{'B/b': (1, 1), 'OW/ow': (14, 2), 'OH/oh': (14, 2), 'IC/ic': (2, 8), 'OC/oc': (2, 16)}","('OW/ow', 'B/b', 'OH/oh', 'OC/oc', 'IC/ic')",oc,Weight Stationary,2864,2097152.0,1310.625,2621.25,0.0,0.0,1
64.0,32.0,4,8,12.5,0.61,0.61,16,16,GoogleNet,inception_3a_pool_proj,3994,2352,2352,1642,,2408448,147456.0,77070336,98304,6422528,6422528,9633792,9633792,9633792,9633792,6422528,6422528,4112384,1605632,"{'B/b': (1, 1), 'OW/ow': (28, 1), 'OH/oh': (28, 1), 'IC/ic': (3, 64), 'OC/oc': (1, 8)}","('OW/ow', 'B/b', 'OH/oh', 'OC/oc', 'IC/ic')",oc,Weight Stationary,2864,524288.0,655.3125,655.3125,0.0,0.0,1
128.0,64.0,1,8,12.5,0.61,0.61,16,16,GoogleNet,inception_3b_1x1,11579,6272,6272,5307,,0,786432.0,411041792,524288,32112640,32112640,6422528,3211264,6422528,3211264,32112640,32112640,10158080,6422528,"{'B/b': (1, 1), 'OW/ow': (28, 1), 'OH/oh': (28, 1), 'IC/ic': (4, 64), 'OC/oc': (2, 64)}","('OW/ow', 'B/b', 'OH/oh', 'OC/oc', 'IC/ic')",oc,Weight Stationary,2864,2097152.0,1310.625,2621.25,0.0,0.0,1
