,N,M,Number of Threads,Number of Active Cores,Network,Layer,Total Cycles,Energy,Tiling
0,256.0,32.0,1,8,GoogleNet,conv1,73855,1425164.000018598,14
1,64.0,64.0,2,8,GoogleNet,conv2_3x3_reduce,20229,375138.229407744,14
2,128.0,64.0,1,8,GoogleNet,conv2_3x3,57961,1235669.9973637122,21
3,64.0,64.0,2,8,GoogleNet,inception_3a_1x1,7481,120720.213859328,3
4,256.0,32.0,1,8,GoogleNet,inception_3a_3x3_reduce,8617,165348.396060672,21
5,128.0,64.0,1,8,GoogleNet,inception_3a_3x3,14656,263355.993252864,28
6,64.0,32.0,4,8,GoogleNet,inception_3a_5x5_reduce,3426,54424.083720704,3
7,256.0,32.0,1,8,GoogleNet,inception_3a_5x5,4138,52631.75863552,2
8,64.0,32.0,4,8,GoogleNet,inception_3a_pool_proj,4582,76153.742115328,3
9,128.0,64.0,1,8,GoogleNet,inception_3b_1x1,11580,223078.325710848,28
10,128.0,64.0,1,8,GoogleNet,inception_3b_3x3_reduce,11580,223078.325710848,28
11,64.0,32.0,4,8,GoogleNet,inception_3b_3x3,25288,445069.943779328,6
12,256.0,32.0,1,8,GoogleNet,inception_3b_5x5_reduce,5362,86499.99948185601,1
13,256.0,32.0,1,8,GoogleNet,inception_3b_5x5,11709,191905.53051648004,168
14,128.0,64.0,1,8,GoogleNet,inception_3b_pool_proj,8480,131931.385014272,2
15,128.0,64.0,1,8,GoogleNet,inception_4a_1x1,7797,109276.82041728002,3
16,256.0,32.0,1,8,GoogleNet,inception_4a_3x3_reduce,4424,64301.172733440006,3
17,64.0,32.0,4,8,GoogleNet,inception_4a_3x3,9384,147782.589577472,7
18,256.0,32.0,1,8,GoogleNet,inception_4a_5x5_reduce,1811,27346.743821440003,1
19,64.0,64.0,2,8,GoogleNet,inception_4a_5x5,1813,23721.78392768,1
20,128.0,64.0,1,8,GoogleNet,inception_4a_pool_proj,3301,49203.57937536,1
21,256.0,32.0,1,8,GoogleNet,inception_4b_1x1,6801,96959.09775232,10
22,128.0,64.0,1,8,GoogleNet,inception_4b_3x3_reduce,5294,74377.063108992,4
23,64.0,32.0,4,8,GoogleNet,inception_4b_3x3,10180,160046.95833638404,7
24,256.0,32.0,1,8,GoogleNet,inception_4b_5x5_reduce,2072,32259.789217344,2
25,128.0,64.0,1,8,GoogleNet,inception_4b_5x5,2618,34050.18640288,1
26,128.0,64.0,1,8,GoogleNet,inception_4b_pool_proj,3393,50960.941904384,4
27,128.0,64.0,1,8,GoogleNet,inception_4c_1x1,5665,81477.127697408,8
28,128.0,64.0,1,8,GoogleNet,inception_4c_3x3_reduce,5665,81477.127697408,8
29,128.0,32.0,2,8,GoogleNet,inception_4c_3x3,12366,184878.366205952,8
30,256.0,32.0,1,8,GoogleNet,inception_4c_5x5_reduce,2072,32259.789217344,2
31,128.0,64.0,1,8,GoogleNet,inception_4c_5x5,2618,34050.18640288,1
32,128.0,64.0,1,8,GoogleNet,inception_4c_pool_proj,3393,50960.941904384,4
33,128.0,64.0,1,8,GoogleNet,inception_4d_1x1,5294,74377.063108992,4
34,256.0,32.0,1,8,GoogleNet,inception_4d_3x3_reduce,6429,89983.427307904,2
35,128.0,32.0,2,8,GoogleNet,inception_4d_3x3,15675,223985.516652288,9
36,256.0,32.0,1,8,GoogleNet,inception_4d_5x5_reduce,2258,35747.624439552004,2
37,128.0,64.0,1,8,GoogleNet,inception_4d_5x5,3182,38837.51520384,1
38,128.0,64.0,1,8,GoogleNet,inception_4d_pool_proj,3393,50960.941904384,4
39,64.0,32.0,4,8,GoogleNet,inception_4e_1x1,9359,152260.818310016,8
40,64.0,32.0,4,8,GoogleNet,inception_4e_3x3_reduce,7109,103069.3819712,5
41,128.0,32.0,2,8,GoogleNet,inception_4e_3x3,18397,263492.6933632,10
42,64.0,32.0,4,8,GoogleNet,inception_4e_5x5_reduce,2348,37480.800186112,1
43,64.0,128.0,1,8,GoogleNet,inception_4e_5x5,6052,77248.62614144,1
44,64.0,128.0,1,8,GoogleNet,inception_4e_pool_proj,5919,84860.199306112,1
45,64.0,32.0,4,8,GoogleNet,inception_5a_1x1,4441,93393.635713024,104
46,64.0,32.0,4,8,GoogleNet,inception_5a_3x3_reduce,2999,62439.111546880005,65
47,128.0,32.0,2,8,GoogleNet,inception_5a_3x3,6944,146219.4012992,10
48,256.0,32.0,1,8,GoogleNet,inception_5a_5x5_reduce,1091,17348.002864832,1
49,64.0,128.0,1,8,GoogleNet,inception_5a_5x5,2386,36180.54925216,1
50,64.0,128.0,1,8,GoogleNet,inception_5a_pool_proj,2844,44592.300677888,13
51,128.0,32.0,2,8,GoogleNet,inception_5b_1x1,6014,123209.474505728,6
52,64.0,32.0,4,8,GoogleNet,inception_5b_3x3_reduce,3480,72757.286268928,78
53,128.0,64.0,1,8,GoogleNet,inception_5b_3x3,9271,193360.102290816,6
54,128.0,64.0,1,8,GoogleNet,inception_5b_5x5_reduce,1456,21985.396363008,1
55,64.0,32.0,4,8,GoogleNet,inception_5b_5x5,2587,57670.28015104,96
56,64.0,128.0,1,8,GoogleNet,inception_5b_pool_proj,2844,44592.300677888,13
57,128.0,64.0,1,8,GoogleNet,fc,11543,223767.48030344,2
58,256.0,32.0,1,8,RESNET-50,conv1,73855,1425164.000018598,14
59,64.0,64.0,2,8,RESNET-50,conv2_1_a,20229,375138.229407744,14
60,128.0,64.0,1,8,RESNET-50,conv2_1_b,21559,447181.542408704,7
61,64.0,128.0,1,8,RESNET-50,conv2_1_c,74187,1375414.415253504,14
62,128.0,64.0,1,8,RESNET-50,conv2_2_a,27094,517149.198639104,14
63,128.0,64.0,1,8,RESNET-50,conv2_2_b,21559,447181.542408704,7
64,64.0,128.0,1,8,RESNET-50,conv2_2_c,74187,1375414.415253504,14
65,128.0,64.0,1,8,RESNET-50,conv2_3_a,27094,517149.198639104,14
66,128.0,64.0,1,8,RESNET-50,conv2_3_b,21559,447181.542408704,7
67,64.0,128.0,1,8,RESNET-50,conv2_3_c,74187,1375414.415253504,14
68,128.0,64.0,1,8,RESNET-50,conv3_1_a,11580,236684.619411456,3136
69,128.0,64.0,1,8,RESNET-50,conv3_1_b,17346,403919.282876416,784
70,128.0,64.0,1,8,RESNET-50,conv3_1_c,37735,709719.2598855679,8
71,128.0,64.0,1,8,RESNET-50,conv3_2_a,14188,283603.145117696,56
