N,M,Number of Threads,Number of Active Cores,DRAM Cost (pJ/bit),Weight Bus Cost (pJ/bit),Data Dispatch Bus Cost (pJ/bit),Activation Precision (bits),Weight Precision (bits),Network,Layer,Total Cycles,Core Cycles,Core Compute Cycles,Memory wait cycles,Energy,Data Dispatch Hops,Weight Bus Hops,Weight SRAM Read,Weight SRAM Write,Output SRAM Read,Output SRAM Write,Activation SRAM Read,Actiation SRAM Write,Activation FIFO Read,Activation FIFO Write,Output Acccumulator Read,Output Accumulator Write,DRAM Read,DRAM Write,Tiling,Ordering,Partitioning,Stationary,Bandwidth (bits/cycle),Weight SRAM Size (bits),Output SRAM Size (bits),Input SRAM Size (bits),Act FIFO Size (bits),Out Accumulator Size (Bits),Batch size
256.0,32.0,1,8,12.5,0.61,0.61,16,16,GoogleNet,conv1,2368382,1605632,1605632,762750,46129700.2222009,0,225792.0,118013952,150528,3288334336,3288334336,3776446464,103036416,3776446464,103036416,3288334336,3288334336,1747354112,1644167168,"{'B/b': (16, 2), 'OW/ow': (7, 16), 'OH/oh': (7, 16), 'IC/ic': (1, 3), 'OC/oc': (4, 16)}","('B/b', 'OH/oh', 'IC/ic', 'OW/ow', 'OC/oc')",oc,Weight Stationary,2864,2097152.0,131072.0,262144.0,0.0,0.0,32
64.0,64.0,2,8,12.5,0.61,0.61,16,16,GoogleNet,conv2_3x3_reduce,645887,50176,50176,595711,11793627.955822593,65536,0.0,822083584,131072,822083584,822083584,102760448,102760448,102760448,102760448,822083584,822083584,513867776,411041792,"{'B/b': (32, 1), 'OW/ow': (28, 2), 'OH/oh': (7, 4), 'IC/ic': (1, 64), 'OC/oc': (1, 64)}","('OC/oc', 'OH/oh', 'IC/ic', 'B/b', 'OW/ow')",of,Weight Stationary,2864,1048576.0,131072.0,131072.0,0.0,0.0,32
128.0,64.0,1,8,12.5,0.61,0.61,16,16,GoogleNet,conv2_3x3,1835605,1505280,1505280,330325,36828577.92005735,0,2654208.0,1387266048,1769472,7398752256,7398752256,2774532096,160563200,2774532096,160563200,7398752256,7398752256,1395458048,1233125376,"{'B/b': (16, 2), 'OW/ow': (7, 8), 'OH/oh': (7, 8), 'IC/ic': (1, 64), 'OC/oc': (3, 64)}","('B/b', 'OH/oh', 'IC/ic', 'OW/ow', 'OC/oc')",oc,Weight Stationary,2864,2097152.0,131072.0,262144.0,0.0,0.0,32
64.0,64.0,2,8,12.5,0.61,0.61,16,16,GoogleNet,inception_3a_1x1,197479,37632,37632,159847,3667706.060652544,196608,0.0,38535168,393216,411041792,411041792,77070336,77070336,77070336,77070336,411041792,411041792,180027392,102760448,"{'B/b': (2, 16), 'OW/ow': (7, 4), 'OH/oh': (7, 2), 'IC/ic': (3, 64), 'OC/oc': (1, 64)}","('OW/ow', 'OC/oc', 'OH/oh', 'B/b', 'IC/ic')",of,Weight Stationary,2864,1048576.0,131072.0,131072.0,0.0,0.0,32
256.0,32.0,1,8,12.5,0.61,0.61,16,16,GoogleNet,inception_3a_3x3_reduce,269307,75264,75264,194043,5028037.279752193,0,442368.0,115605504,294912,308281344,308281344,231211008,77070336,231211008,77070336,308281344,308281344,231505920,154140672,"{'B/b': (8, 4), 'OW/ow': (7, 4), 'OH/oh': (7, 4), 'IC/ic': (1, 192), 'OC/oc': (1, 96)}","('OW/ow', 'OC/oc', 'OH/oh', 'B/b', 'IC/ic')",oc,Weight Stationary,2864,2097152.0,131072.0,262144.0,0.0,0.0,32
128.0,64.0,1,8,12.5,0.61,0.61,16,16,GoogleNet,inception_3a_3x3,352690,351232,351232,1458,7253518.055989249,0,2654208.0,2774532096,1769472,1644167168,1644167168,693633024,86704128,693633024,86704128,1644167168,1644167168,293994496,205520896,"{'B/b': (32, 1), 'OW/ow': (7, 4), 'OH/oh': (7, 4), 'IC/ic': (1, 96), 'OC/oc': (1, 128)}","('OW/ow', 'OC/oc', 'OH/oh', 'B/b', 'IC/ic')",oc,Weight Stationary,2864,2097152.0,131072.0,262144.0,0.0,0.0,32
64.0,32.0,4,8,12.5,0.61,0.61,16,16,GoogleNet,inception_3a_5x5_reduce,89735,18816,18816,70919,1667998.202970112,49152,0.0,5505024,196608,102760448,102760448,77070336,77070336,77070336,77070336,102760448,102760448,102809600,25690112,"{'B/b': (4, 8), 'OW/ow': (7, 2), 'OH/oh': (1, 14), 'IC/ic': (3, 64), 'OC/oc': (1, 16)}","('OW/ow', 'OC/oc', 'OH/oh', 'B/b', 'IC/ic')",of,Weight Stationary,2864,524288.0,65536.0,65536.0,0.0,0.0,32
256.0,32.0,1,8,12.5,0.61,0.61,16,16,GoogleNet,inception_3a_5x5,82156,50176,50176,31980,1597656.9125580802,0,307200.0,22937600,204800,154140672,154140672,160563200,14680064,160563200,14680064,154140672,154140672,66265088,51380224,"{'B/b': (16, 2), 'OW/ow': (7, 4), 'OH/oh': (1, 28), 'IC/ic': (2, 8), 'OC/oc': (1, 32)}","('OW/ow', 'OC/oc', 'OH/oh', 'B/b', 'IC/ic')",oc,Weight Stationary,2864,2097152.0,131072.0,262144.0,0.0,0.0,32
64.0,32.0,4,8,12.5,0.61,0.61,16,16,GoogleNet,inception_3a_pool_proj,125650,18816,18816,106834,2322529.728217088,98304,0.0,22020096,393216,205520896,205520896,77070336,77070336,77070336,77070336,205520896,205520896,128548864,51380224,"{'B/b': (8, 4), 'OW/ow': (7, 2), 'OH/oh': (1, 14), 'IC/ic': (3, 64), 'OC/oc': (1, 32)}","('OW/ow', 'OC/oc', 'OH/oh', 'B/b', 'IC/ic')",of,Weight Stationary,2864,524288.0,65536.0,65536.0,0.0,0.0,32
128.0,64.0,1,8,12.5,0.61,0.61,16,16,GoogleNet,inception_3b_1x1,359167,100352,100352,258815,6771345.465933825,0,786432.0,1644167168,524288,616562688,616562688,205520896,102760448,205520896,102760448,616562688,616562688,308805632,205520896,"{'B/b': (16, 2), 'OW/ow': (28, 1), 'OH/oh': (7, 4), 'IC/ic': (1, 256), 'OC/oc': (2, 64)}","('OH/oh', 'B/b', 'IC/ic', 'OC/oc', 'OW/ow')",oc,Weight Stationary,2864,2097152.0,131072.0,262144.0,0.0,0.0,32
128.0,64.0,1,8,12.5,0.61,0.61,16,16,GoogleNet,inception_3b_3x3_reduce,359167,100352,100352,258815,6771345.465933825,0,786432.0,1644167168,524288,616562688,616562688,205520896,102760448,205520896,102760448,616562688,616562688,308805632,205520896,"{'B/b': (16, 2), 'OW/ow': (28, 1), 'OH/oh': (7, 4), 'IC/ic': (1, 256), 'OC/oc': (2, 64)}","('OH/oh', 'B/b', 'IC/ic', 'OC/oc', 'OW/ow')",oc,Weight Stationary,2864,2097152.0,131072.0,262144.0,0.0,0.0,32
