N,M,Number of Threads,Number of Active Cores,DRAM Cost (pJ/bit),Weight Bus Cost (pJ/bit),Data Dispatch Bus Cost (pJ/bit),Activation Precision (bits),Weight Precision (bits),Network,Layer,Total Cycles,Core Cycles,Core Compute Cycles,Memory wait cycles,Energy,Data Dispatch Hops,Weight Bus Hops,Weight SRAM Read,Weight SRAM Write,Output SRAM Read,Output SRAM Write,Activation SRAM Read,Actiation SRAM Write,Activation FIFO Read,Activation FIFO Write,Output Acccumulator Read,Output Accumulator Write,DRAM Read,DRAM Write,Tiling,Ordering,Partitioning,Stationary,Bandwidth (bits/cycle),Weight SRAM Size (bits),Output SRAM Size (bits),Input SRAM Size (bits),Act FIFO Size (bits),Out Accumulator Size (Bits),Batch size
64,32,3,6,12.5,0.61,0.61,16,16,GoogleNet,conv1,100344,25536,25536,74808,1484787.165964074,150528,301056.0,3161088,451584,209190912,209190912,60060672,3020976,60060672,3020976,209190912,209190912,55469232,52297728,"{'B/b': (1, 1), 'OW/ow': (7, 16), 'OH/oh': (1, 38), 'IC/ic': (1, 3), 'OC/oc': (2, 32)}","('OW/ow', 'IC/ic', 'B/b', 'OC/oc', 'OH/oh')",of,Weight Stationary,2864,524288.0,524288.0,524288.0,0.0,0.0,1
64,32,3,6,12.5,0.61,0.61,16,16,GoogleNet,conv2_3x3_reduce,27453,2128,2128,25325,384122.173334528,65536,131072.0,1376256,196608,26148864,26148864,6537216,3268608,6537216,3268608,26148864,26148864,16408576,13074432,"{'B/b': (1, 1), 'OW/ow': (7, 8), 'OH/oh': (1, 19), 'IC/ic': (1, 64), 'OC/oc': (2, 32)}","('B/b', 'IC/ic', 'OH/oh', 'OC/oc', 'OW/ow')",of,Weight Stationary,2864,524288.0,524288.0,524288.0,0.0,0.0,1
64,32,3,6,12.5,0.61,0.61,16,16,GoogleNet,conv2_3x3,77280,56448,56448,20832,1337602.7060075519,4157440,2064384.0,12386304,1769472,385351680,385351680,173408256,12472320,173408256,12472320,385351680,385351680,44462080,38535168,"{'B/b': (1, 1), 'OW/ow': (7, 8), 'OH/oh': (1, 56), 'IC/ic': (1, 64), 'OC/oc': (1, 64)}","('OW/ow', 'IC/ic', 'B/b', 'OC/oc', 'OH/oh')",oc,Weight Stationary,2864,524288.0,524288.0,524288.0,0.0,0.0,1
64,32,3,6,12.5,0.61,0.61,16,16,GoogleNet,inception_3a_1x1,8789,2352,2352,6437,130265.10948172801,2408448,236544.0,5677056,202752,13246464,13246464,7225344,7225344,7225344,7225344,13246464,13246464,5922816,3311616,"{'B/b': (1, 1), 'OW/ow': (28, 1), 'OH/oh': (1, 28), 'IC/ic': (3, 64), 'OC/oc': (1, 22)}","('OW/ow', 'IC/ic', 'B/b', 'OC/oc', 'OH/oh')",oc,Weight Stationary,2864,524288.0,524288.0,524288.0,0.0,0.0,1
64,32,3,6,12.5,0.61,0.61,16,16,GoogleNet,inception_3a_3x3_reduce,11678,2352,2352,9326,171072.964128768,2408448,344064.0,8257536,294912,19267584,19267584,7225344,7225344,7225344,7225344,19267584,19267584,7520256,4816896,"{'B/b': (1, 1), 'OW/ow': (28, 1), 'OH/oh': (1, 28), 'IC/ic': (3, 64), 'OC/oc': (1, 32)}","('OW/ow', 'IC/ic', 'B/b', 'OC/oc', 'OH/oh')",oc,Weight Stationary,2864,524288.0,524288.0,524288.0,0.0,0.0,1
32,32,6,6,12.5,0.61,0.61,16,16,GoogleNet,inception_3a_3x3,20384,15120,15120,5264,329321.208723456,1769472,7077888.0,10616832,10616832,192675840,192675840,46448640,1769472,46448640,1769472,192675840,192675840,10420224,6881280,"{'B/b': (1, 1), 'OW/ow': (1, 14), 'OH/oh': (1, 10), 'IC/ic': (1, 96), 'OC/oc': (4, 32)}","('OW/ow', 'IC/ic', 'B/b', 'OC/oc', 'OH/oh')",of,Weight Stationary,2864,262144.0,262144.0,262144.0,0.0,0.0,1
64,32,3,6,12.5,0.61,0.61,16,16,GoogleNet,inception_3a_5x5_reduce,4166,2352,2352,1814,64972.542046464,2408448,64512.0,1548288,55296,3612672,3612672,7225344,7225344,7225344,7225344,3612672,3612672,3366912,903168,"{'B/b': (1, 1), 'OW/ow': (28, 1), 'OH/oh': (1, 28), 'IC/ic': (3, 64), 'OC/oc': (1, 6)}","('OW/ow', 'IC/ic', 'B/b', 'OC/oc', 'OH/oh')",oc,Weight Stationary,2864,524288.0,524288.0,524288.0,0.0,0.0,1
64,32,3,6,12.5,0.61,0.61,16,16,GoogleNet,inception_3a_5x5,5675,1960,1960,3715,60438.20660992,204800,409600.0,614400,614400,13762560,13762560,5376000,344064,5376000,344064,13762560,13762560,2269184,1720320,"{'B/b': (1, 1), 'OW/ow': (1, 28), 'OH/oh': (1, 10), 'IC/ic': (1, 16), 'OC/oc': (1, 32)}","('OW/ow', 'IC/ic', 'B/b', 'OC/oc', 'OH/oh')",of,Weight Stationary,2864,524288.0,524288.0,524288.0,0.0,0.0,1
64,32,3,6,12.5,0.61,0.61,16,16,GoogleNet,inception_3a_pool_proj,5611,2352,2352,3259,85376.469369984,2408448,118272.0,2838528,101376,6623232,6623232,7225344,7225344,7225344,7225344,6623232,6623232,4165632,1655808,"{'B/b': (1, 1), 'OW/ow': (28, 1), 'OH/oh': (1, 28), 'IC/ic': (3, 64), 'OC/oc': (1, 11)}","('OW/ow', 'IC/ic', 'B/b', 'OC/oc', 'OH/oh')",oc,Weight Stationary,2864,524288.0,524288.0,524288.0,0.0,0.0,1
64,32,3,6,12.5,0.61,0.61,16,16,GoogleNet,inception_3b_1x1,15537,6272,6272,9265,242608.34114806404,3211264,616448.0,3698688,528384,32363520,32363520,19267584,9633792,19267584,9633792,32363520,32363520,10212352,6472704,"{'B/b': (1, 1), 'OW/ow': (7, 4), 'OH/oh': (1, 28), 'IC/ic': (4, 64), 'OC/oc': (1, 43)}","('OW/ow', 'IC/ic', 'B/b', 'OC/oc', 'OH/oh')",oc,Weight Stationary,2864,524288.0,524288.0,524288.0,0.0,0.0,1
