,N,M,Number of Threads,Number of Active Cores,Network,Layer,Total Cycles,Energy,Tiling
0,256.0,32.0,2,16,GoogleNet,conv1,36928,1403103.592699788,7
1,128.0,64.0,2,16,GoogleNet,conv2_3x3_reduce,10115,375227.515482112,7
2,128.0,64.0,2,16,GoogleNet,conv2_3x3,29031,1194861.9736995844,21
3,64.0,64.0,4,16,GoogleNet,inception_3a_1x1,3741,119852.920664576,3
4,256.0,64.0,1,16,GoogleNet,inception_3a_3x3_reduce,4309,163145.75733964803,28
5,256.0,64.0,1,16,GoogleNet,inception_3a_3x3,8113,248212.274340864,28
6,64.0,32.0,8,16,GoogleNet,inception_3a_5x5_reduce,1714,53930.47168332801,3
7,512.0,32.0,1,16,GoogleNet,inception_3a_5x5,2069,50605.38205952,1
8,64.0,32.0,8,16,GoogleNet,inception_3a_pool_proj,2291,75739.818040576,3
9,256.0,64.0,1,16,GoogleNet,inception_3b_1x1,5790,223331.461259264,4
10,256.0,64.0,1,16,GoogleNet,inception_3b_3x3_reduce,5790,223331.461259264,4
11,128.0,64.0,2,16,GoogleNet,inception_3b_3x3,13583,410576.57693081605,42
12,256.0,32.0,2,16,GoogleNet,inception_3b_5x5_reduce,2681,85948.63263027201,1
13,512.0,32.0,1,16,GoogleNet,inception_3b_5x5,5855,179747.27106048004,84
14,256.0,64.0,1,16,GoogleNet,inception_3b_pool_proj,4241,129407.43186227202,1
15,256.0,64.0,1,16,GoogleNet,inception_4a_1x1,3899,105490.89068928002,3
16,512.0,32.0,1,16,GoogleNet,inception_4a_3x3_reduce,2213,62781.390301440006,3
17,128.0,128.0,1,16,GoogleNet,inception_4a_3x3,5709,122898.35521689602,1
18,512.0,32.0,1,16,GoogleNet,inception_4a_5x5_reduce,906,26902.346749440003,1
19,256.0,64.0,1,16,GoogleNet,inception_4a_5x5,950,22043.70995072,2
20,256.0,64.0,1,16,GoogleNet,inception_4a_pool_proj,1651,47941.60279936,1
21,512.0,32.0,1,16,GoogleNet,inception_4b_1x1,3401,94426.12703232,5
22,256.0,64.0,1,16,GoogleNet,inception_4b_3x3_reduce,2647,71977.50410099201,2
23,512.0,32.0,1,16,GoogleNet,inception_4b_3x3,6129,140968.582169856,7
24,512.0,32.0,1,16,GoogleNet,inception_4b_5x5_reduce,1037,31784.293609344,1
25,128.0,64.0,2,16,GoogleNet,inception_4b_5x5,1319,34445.32546912,1
26,256.0,64.0,1,16,GoogleNet,inception_4b_pool_proj,1697,49698.965328384,2
27,256.0,64.0,1,16,GoogleNet,inception_4c_1x1,2833,78953.174545408,4
28,256.0,64.0,1,16,GoogleNet,inception_4c_3x3_reduce,2833,78953.174545408,4
29,128.0,32.0,4,16,GoogleNet,inception_4c_3x3,6209,185640.919353344,8
30,512.0,32.0,1,16,GoogleNet,inception_4c_5x5_reduce,1037,31784.293609344,1
31,128.0,64.0,2,16,GoogleNet,inception_4c_5x5,1319,34445.32546912,1
32,256.0,64.0,1,16,GoogleNet,inception_4c_pool_proj,1697,49698.965328384,2
33,256.0,64.0,1,16,GoogleNet,inception_4d_1x1,2647,71977.50410099201,2
34,512.0,32.0,1,16,GoogleNet,inception_4d_3x3_reduce,3215,87512.653659904,1
35,128.0,32.0,4,16,GoogleNet,inception_4d_3x3,7867,224066.149410816,9
36,512.0,32.0,1,16,GoogleNet,inception_4d_5x5_reduce,1130,35241.030295552,1
37,256.0,64.0,1,16,GoogleNet,inception_4d_5x5,1690,36944.55033984,4
38,256.0,64.0,1,16,GoogleNet,inception_4d_pool_proj,1697,49698.965328384,2
39,64.0,256.0,1,16,GoogleNet,inception_4e_1x1,5341,144591.468700544,1
40,128.0,32.0,4,16,GoogleNet,inception_4e_3x3_reduce,3677,100319.5486912,5
41,128.0,32.0,4,16,GoogleNet,inception_4e_3x3,9231,263674.1858368,10
42,128.0,32.0,4,16,GoogleNet,inception_4e_5x5_reduce,1199,36930.833530112,1
43,128.0,128.0,1,16,GoogleNet,inception_4e_5x5,3124,71969.96668544,1
44,128.0,128.0,1,16,GoogleNet,inception_4e_pool_proj,3058,81341.093002112,1
45,64.0,256.0,1,16,GoogleNet,inception_5a_1x1,2616,79398.24866329599,13
46,512.0,32.0,1,16,GoogleNet,inception_5a_3x3_reduce,1813,52250.800283200006,5
47,128.0,32.0,4,16,GoogleNet,inception_5a_3x3,3619,160488.94266879998,10
48,512.0,32.0,1,16,GoogleNet,inception_5a_5x5_reduce,546,17094.705792832003,1
49,128.0,128.0,1,16,GoogleNet,inception_5a_5x5,1218,34860.88438816,1
50,128.0,128.0,1,16,GoogleNet,inception_5a_pool_proj,1447,43272.635813888,1
51,128.0,32.0,4,16,GoogleNet,inception_5b_1x1,3183,135731.808649216,12
52,256.0,64.0,1,16,GoogleNet,inception_5b_3x3_reduce,2130,60697.444771072005,3
53,128.0,64.0,2,16,GoogleNet,inception_5b_3x3,4786,213757.22145331203,6
54,256.0,64.0,1,16,GoogleNet,inception_5b_5x5_reduce,753,21558.802951008,1
55,256.0,64.0,1,16,GoogleNet,inception_5b_5x5,1662,46823.60670224,2
56,128.0,128.0,1,16,GoogleNet,inception_5b_pool_proj,1447,43272.635813888,1
57,256.0,64.0,1,16,GoogleNet,fc,5836,223563.34730344,4
58,256.0,32.0,2,16,RESNET-50,conv1,36928,1403103.592699788,7
59,128.0,64.0,2,16,RESNET-50,conv2_1_a,10115,375227.515482112,7
60,128.0,64.0,2,16,RESNET-50,conv2_1_b,10830,434795.817622528,7
61,64.0,256.0,1,16,RESNET-50,conv2_1_c,37094,1368124.960374784,7
62,256.0,64.0,1,16,RESNET-50,conv2_2_a,13548,507053.386031104,7
63,128.0,64.0,2,16,RESNET-50,conv2_2_b,10830,434795.817622528,7
64,64.0,256.0,1,16,RESNET-50,conv2_2_c,37094,1368124.960374784,7
65,256.0,64.0,1,16,RESNET-50,conv2_3_a,13548,507053.386031104,7
66,128.0,64.0,2,16,RESNET-50,conv2_3_b,10830,434795.817622528,7
67,64.0,256.0,1,16,RESNET-50,conv2_3_c,37094,1368124.960374784,7
68,256.0,64.0,1,16,RESNET-50,conv3_1_a,5790,237042.822864896,3136
69,256.0,64.0,1,16,RESNET-50,conv3_1_b,10187,275082.56158515206,28
70,128.0,128.0,1,16,RESNET-50,conv3_1_c,18868,701465.685938176,14
71,256.0,64.0,1,16,RESNET-50,conv3_2_a,7095,273507.332509696,28
72,256.0,64.0,1,16,RESNET-50,conv3_2_b,10187,275082.56158515206,28
73,128.0,128.0,1,16,RESNET-50,conv3_2_c,18868,701465.685938176,14
74,256.0,64.0,1,16,RESNET-50,conv3_3_a,7095,273507.332509696,28
75,256.0,64.0,1,16,RESNET-50,conv3_3_b,10187,275082.56158515206,28
76,128.0,128.0,1,16,RESNET-50,conv3_3_c,18868,701465.685938176,14
77,256.0,64.0,1,16,RESNET-50,conv3_4_a,7095,273507.332509696,28
78,256.0,64.0,1,16,RESNET-50,conv3_4_b,10187,275082.56158515206,28
79,128.0,128.0,1,16,RESNET-50,conv3_4_c,18868,701465.685938176,14
80,256.0,64.0,1,16,RESNET-50,conv4_1_a,5105,151120.420632576,1568
81,256.0,32.0,2,16,RESNET-50,conv4_1_b,10124,283034.447611904,8
82,256.0,64.0,1,16,RESNET-50,conv4_1_c,10716,406809.55809587205,8
83,64.0,32.0,8,16,RESNET-50,conv4_2_a,6914,221402.888824832,16
84,256.0,32.0,2,16,RESNET-50,conv4_2_b,10124,283034.447611904,8
85,256.0,64.0,1,16,RESNET-50,conv4_2_c,10716,406809.55809587205,8
86,64.0,32.0,8,16,RESNET-50,conv4_3_a,6914,221402.888824832,16
87,256.0,32.0,2,16,RESNET-50,conv4_3_b,10124,283034.447611904,8
88,256.0,64.0,1,16,RESNET-50,conv4_3_c,10716,406809.55809587205,8
89,64.0,32.0,8,16,RESNET-50,conv4_4_a,6914,221402.888824832,16
