N,M,Number of Threads,Number of Active Cores,DRAM Cost (pJ/bit),Weight Bus Cost (pJ/bit),Data Dispatch Bus Cost (pJ/bit),Activation Precision (bits),Weight Precision (bits),Network,Layer,Total Cycles,Core Cycles,Core Compute Cycles,Memory wait cycles,Energy,Data Dispatch Hops,Weight Bus Hops,Weight SRAM Read,Weight SRAM Write,Output SRAM Read,Output SRAM Write,Activation SRAM Read,Actiation SRAM Write,Activation FIFO Read,Activation FIFO Write,Output Acccumulator Read,Output Accumulator Write,DRAM Read,DRAM Write,Tiling,Ordering,Partitioning,Stationary,Bandwidth (bits/cycle),Weight SRAM Size (bits),Output SRAM Size (bits),Input SRAM Size (bits),Act FIFO Size (bits),Out Accumulator Size (Bits),Batch size
32,32,15,15,12.5,0.61,0.61,16,16,GoogleNet,conv1,41164,17480,17480,23684,1562762.4386330103,451584,1655808.0,2257920,2257920,322191360,322191360,123338880,2974320,123338880,2974320,322191360,322191360,56823408,53698560,"{'B/b': (1, 1), 'OW/ow': (1, 38), 'OH/oh': (1, 23), 'IC/ic': (1, 3), 'OC/oc': (4, 16)}","('B/b', 'OW/ow', 'OH/oh', 'IC/ic', 'OC/oc')",of,Weight Stationary,2864,262144.0,262144.0,262144.0,0.0,0.0,1
32,32,15,15,12.5,0.61,0.61,16,16,GoogleNet,conv2_3x3_reduce,12676,912,912,11764,413640.90552832,196608,720896.0,983040,983040,42024960,42024960,7004160,3502080,7004160,3502080,42024960,42024960,17575936,14008320,"{'B/b': (1, 1), 'OW/ow': (1, 19), 'OH/oh': (1, 12), 'IC/ic': (2, 32), 'OC/oc': (2, 32)}","('B/b', 'OW/ow', 'OH/oh', 'IC/ic', 'OC/oc')",of,Weight Stationary,2864,262144.0,262144.0,262144.0,0.0,0.0,1
32,32,15,15,12.5,0.61,0.61,16,16,GoogleNet,conv2_3x3,33646,24624,24624,9022,1512628.9375910403,5308416,19464192.0,26542080,26542080,798474240,798474240,189112320,4515840,189112320,4515840,798474240,798474240,48310272,42024960,"{'B/b': (1, 1), 'OW/ow': (1, 19), 'OH/oh': (1, 12), 'IC/ic': (1, 64), 'OC/oc': (6, 32)}","('B/b', 'OW/ow', 'OH/oh', 'IC/ic', 'OC/oc')",of,Weight Stationary,2864,262144.0,262144.0,262144.0,0.0,0.0,1
32,32,15,15,12.5,0.61,0.61,16,16,GoogleNet,inception_3a_1x1,4569,720,720,3849,143219.84987136,589824,2162688.0,2949120,2949120,25804800,25804800,5529600,2764800,5529600,2764800,25804800,25804800,6647808,3686400,"{'B/b': (1, 1), 'OW/ow': (1, 10), 'OH/oh': (1, 6), 'IC/ic': (6, 32), 'OC/oc': (2, 32)}","('B/b', 'OW/ow', 'OH/oh', 'IC/ic', 'OC/oc')",of,Weight Stationary,2864,262144.0,262144.0,262144.0,0.0,0.0,1
32,32,15,15,12.5,0.61,0.61,16,16,GoogleNet,inception_3a_3x3_reduce,6339,1080,1080,5259,197227.46565504,884736,3244032.0,4423680,4423680,38707200,38707200,8294400,2764800,8294400,2764800,38707200,38707200,8589312,5529600,"{'B/b': (1, 1), 'OW/ow': (1, 10), 'OH/oh': (1, 6), 'IC/ic': (6, 32), 'OC/oc': (3, 32)}","('B/b', 'OW/ow', 'OH/oh', 'IC/ic', 'OC/oc')",of,Weight Stationary,2864,262144.0,262144.0,262144.0,0.0,0.0,1
32,32,15,15,12.5,0.61,0.61,16,16,GoogleNet,inception_3a_3x3,12961,6480,6480,6481,347184.01234943996,5308416,19464192.0,26542080,26542080,206438400,206438400,49766400,2211840,49766400,2211840,206438400,206438400,11354112,7372800,"{'B/b': (1, 1), 'OW/ow': (1, 10), 'OH/oh': (1, 6), 'IC/ic': (1, 96), 'OC/oc': (4, 32)}","('B/b', 'OW/ow', 'OH/oh', 'IC/ic', 'OC/oc')",of,Weight Stationary,2864,262144.0,262144.0,262144.0,0.0,0.0,1
32,32,15,15,12.5,0.61,0.61,16,16,GoogleNet,inception_3a_5x5_reduce,2096,360,360,1736,63064.92494784,147456,540672.0,737280,737280,6451200,6451200,2764800,2764800,2764800,2764800,6451200,6451200,3735552,921600,"{'B/b': (1, 1), 'OW/ow': (1, 10), 'OH/oh': (1, 6), 'IC/ic': (6, 32), 'OC/oc': (1, 16)}","('B/b', 'OW/ow', 'OH/oh', 'IC/ic', 'OC/oc')",of,Weight Stationary,2864,262144.0,262144.0,262144.0,0.0,0.0,1
32,32,15,15,12.5,0.61,0.61,16,16,GoogleNet,inception_3a_5x5,2430,780,780,1650,69166.510064,614400,2252800.0,3072000,3072000,25804800,25804800,5760000,537600,5760000,537600,25804800,25804800,2585600,1843200,"{'B/b': (1, 1), 'OW/ow': (1, 10), 'OH/oh': (1, 6), 'IC/ic': (1, 16), 'OC/oc': (1, 32)}","('B/b', 'OW/ow', 'OH/oh', 'IC/ic', 'OC/oc')",of,Weight Stationary,2864,262144.0,262144.0,262144.0,0.0,0.0,1
32,32,15,15,12.5,0.61,0.61,16,16,GoogleNet,inception_3a_pool_proj,2800,360,360,2440,89212.23408768,294912,1081344.0,1474560,1474560,12902400,12902400,2764800,2764800,2764800,2764800,12902400,12902400,4706304,1843200,"{'B/b': (1, 1), 'OW/ow': (1, 10), 'OH/oh': (1, 6), 'IC/ic': (6, 32), 'OC/oc': (1, 32)}","('B/b', 'OW/ow', 'OH/oh', 'IC/ic', 'OC/oc')",of,Weight Stationary,2864,262144.0,262144.0,262144.0,0.0,0.0,1
32,32,15,15,12.5,0.61,0.61,16,16,GoogleNet,inception_3b_1x1,8981,1920,1920,7061,272778.51178496,1572864,5767168.0,7864320,7864320,66355200,66355200,14745600,3686400,14745600,3686400,66355200,66355200,11583488,7372800,"{'B/b': (1, 1), 'OW/ow': (1, 10), 'OH/oh': (1, 6), 'IC/ic': (8, 32), 'OC/oc': (4, 32)}","('B/b', 'OW/ow', 'OH/oh', 'IC/ic', 'OC/oc')",of,Weight Stationary,2864,262144.0,262144.0,262144.0,0.0,0.0,1
